text,created_time,hashtags,shareCount,mentions,commentCount,playCount,diggCount,collectCount
Summer like you mean it.,29/05/2025,,4,,1,406,23,0
@marksandspencer_dais giving black and white a fresh perspective.,28/05/2025,,1,,0,1038,28,2
Whistles nailing the brief.,27/05/2025,,1,,2,1131,14,2
Styling it out nicely. Right  @vernonkay,23/05/2025,,23,,2,10400,304,3
"Jaeger summer pieces and @claudiawinkle? Dream combo, tbh.",23/05/2025,,5,,5,4077,106,4
Your style to a tee.,22/05/2025,,1,,1,1240,28,2
In our bag charm era.,21/05/2025,,7,,2,1746,35,2
"Crochet, all day.",20/05/2025,,3,,0,1540,36,1
Just what the forecast calls for ,19/05/2025,,0,,1,1813,31,1
The reviews are in... @marksandspencer_alison is obsessed with Sweed.​ ,17/05/2025,,0,,0,1392,23,0
And the guest wore...,15/05/2025,,0,,1,1699,24,4
"Monday mornings done right 
@marksandspencer_alison.",12/05/2025,,2,,0,3192,61,9
"Nails to set hearts aflutter 
@marksandspencer_alison",04/05/2025,,0,,1,3770,40,4
"Our accessories are ‘popping off’, isn’t that right, @jennymogeystylist?",03/05/2025,,0,,4,3063,57,8
The co-ordthat keeps on giving.,02/05/2025,,8,,1,2936,52,5
SPF always!,01/05/2025,,0,,2,1225,15,1
Picky teas for the win.,01/05/2025,,3,,1,1775,48,5
And the guest wore…,30/04/2025,,139,,6,23500,678,155
There’s 20% off beauty right now so you can complete every look. ,29/04/2025,,1,,0,2112,28,1
"OOTD: this FP Movement set.
@marksandspencer_nicole.",28/04/2025,,2,,0,2091,25,3
God forbid…,23/04/2025,,21,,7,6138,150,17
"Suede shoes = spring vibes.
@christian petty",22/04/2025,,2,@christian petty,0,2235,20,5
Get your kicks.,20/04/2025,,8,,1,9454,95,8
Holiday wardrobe sorted. Now to book the flight…,19/04/2025,,7,,6,3699,87,14
ICYWW what to get from Pai.,18/04/2025,,3,,1,3061,44,1
"Go on, we’re listening…",17/04/2025,,0,,1,2871,46,7
Our must-try list just got a little longer. PSA: there’s 20% off big beauty brands.,17/04/2025,,0,,0,2360,25,2
"BRB just running to our nearest store.
@roxannebethhoare",15/04/2025,,2,,1,5728,91,12
…But we wouldn’t blame you for wanting more ,14/04/2025,,5,,2,4716,70,19
"Yup, that’s THE Per Una co-ord.
@elinorcharlotte ",14/04/2025,,2,@elinorcharlotte,2,2556,47,11
When your earrings are your entire personality. Love that.,14/04/2025,,0,,2,2280,23,5
"The Easter countdown is on 
 
@alexkirwinhome ",12/04/2025,,2,@alexkirwinhome,1,2735,34,5
The M&S team’s spring wish list. Love That.,11/04/2025,,69,,18,53500,1089,96
"Sliding into spring like...
@ajodudu",11/04/2025,,3,@ajodudu,2,4411,63,6
They love to see us coming  ,10/04/2025,,1,,2,5520,93,4
Screening calls? Don't let this one go to voicemail...,09/04/2025,,4,,0,3954,26,3
Hello ,08/04/2025,,4,,5,4063,25,2
"PSA: cancel all your going-out plans. ​
​
Our limited-edition nightwear collection designed by Olivia von Halle is available now.​",08/04/2025,,5,,0,3148,24,0
​The countdown is on for the launch of our Olivia von Halle nightwear collaboration.  ,07/04/2025,,1,,1,7668,45,3
"A new week = new pieces to shop. 

@Jadehayleywilliams ",07/04/2025,,1,@Jadehayleywilliams,1,3769,44,8
Set your alarms ⏰ Our limited-edition nightwear collection by Olivia von Halle drops on Tuesday 8 April.,06/04/2025,,6,,0,18600,98,12
The cat's out of the bag. Our limited-edition nightwear collection designed by Olivia von Halle launches soon....,06/04/2025,,1,,1,8671,32,3
Hands up if you’re a member of the fan club ,04/04/2025,,59,,11,36000,561,52
We’re always here for you ,03/04/2025,,32,,4,12700,175,14
Calling it now: these are the sandals of the season. ,03/04/2025,,370,,16,96100,761,95
IYKYK ,31/03/2025,,12,,4,8636,162,28
"You know what they say: friends who pants shop together, stay together.
@spencermatthews.
@wrighty_.",29/03/2025,,11,,3,14000,198,7
Hush has arrived with styles exclusive to M&S,28/03/2025,,3,,0,2050,14,2
"Made for an icon, because mum's earned it.",27/03/2025,,0,,0,2364,21,3
"Want to join the boys as they shop for pants? Of course you do 
@wrighty_.
@spencermatthews.",27/03/2025,,8,,1,2353,41,4
"""I bought it ages ago."" Consider this your Mother's Day reminder.
@marksandspencer_imani",27/03/2025,,0,,1,2264,29,4
All the boho inspiration you need for spring,26/03/2025,,1,,0,2965,48,14
"""I bought it ages ago."" Consider this your Mother's Day reminder. #mothersday 
@marksandspencer_imani
 ",25/03/2025,mothersday,0,,0,3672,33,5
It’s a kids’ world. Our new collection is just for them.  ,24/03/2025,,2,,1,2013,27,0
Swipe for new-season inspo. ,24/03/2025,,0,,1,3538,62,4
An inside look at our spring collection press event. Love that.,23/03/2025,,2,,1,2646,65,0
The M&S team’s spring wish list. Love that.,21/03/2025,,18,,10,16600,455,24
SS25 press day. Love that. ,20/03/2025,,27,,4,14200,282,14
"Fresh air, fresh ’fits and a fresh perspective. Love that.",20/03/2025,,2,,2,2862,70,5
Get ready for the compliments. Our spring collection launches tomorrow! ,19/03/2025,,37,,1,15700,289,15
"Compliments incoming... Our spring collection is almost here.
 ",18/03/2025,,5,,2,2465,41,2
Don’t miss the boat! These must-haves are now in stock.,17/03/2025,,2,,2,2056,18,7
"Whoops, it happened again",17/03/2025,,1,,1,1553,22,7
"Spring shoe inspo, courtesy of @marksandspencer_zarah in her new Clarks ",16/03/2025,,4,,5,4497,52,6
We’ve got nothing to hide. ,14/03/2025,,11,,3,5828,118,9
"Guilty 
@tomelwes.",13/03/2025,,3,,1,2456,33,2
We’ve done the legwork (you can thank us later). ,12/03/2025,,8,,3,8352,119,11
"Which pieces will you be picking up?
@marksandspencerculver ",10/03/2025,,3,@marksandspencerculver,2,6289,96,11
"Spring wardrobe, sorted with these great-value styles.
@megbrackpool.",10/03/2025,,4,,0,5047,80,12
"TFW your ’fit slides into place (it’s all about the right pants).
@cordell_mclean.",08/03/2025,,8,,2,4646,75,2
On the run with Goodmove and @amyjosimpson.,07/03/2025,,1,,0,2835,46,3
"Can’t help with men but can help with jackets.

@eviemills8.",07/03/2025,,0,,1,2963,35,9
"Skincare must-haves, according to M&S HQ.",06/03/2025,,14,,5,24100,418,68
"TikTok vs reality.
@Juna 
#mymarks",05/03/2025,mymarks,4,@Juna,4,4556,106,10
Fits to match your mood,03/03/2025,,2,,2,2943,44,4
Great minds dress alike,02/03/2025,,9,,0,8731,110,15
"Good jeans. We got ’em.
@jessjepson_",01/03/2025,,0,,2,3215,52,4
A little game of on-the-hanger vs on @Lauren Candy✨ ,26/02/2025,,1,@Lauren Candy✨,1,3420,44,10
"Ready and waiting for spring with these great-value pieces.
@kriskrechina",25/02/2025,,4,@kriskrechina,10,2742,48,13
This is a sign to purchase new underwear ✌️,24/02/2025,,3,,0,2033,13,3
Over here in our scrunchie era…,23/02/2025,,31,,15,25000,518,27
We’re simple creatures. The way to our hearts? BAGS,23/02/2025,,10,,2,3426,66,6
It’s co-ord o’clock. ,21/02/2025,,172,,16,156900,2104,217
Runs to checkout ️,20/02/2025,,21,,7,7116,93,11
"Make an understatement. Self-expression starts here. 

Uncover our new arrivals.",20/02/2025,,2,,1,2141,15,6
Twinning is winning with @WEARETWINSET ,19/02/2025,,1,@WEARETWINSET,2,3027,45,1
Its good for you. ,18/02/2025,,12,,6,2744,48,4
"Player one, ready.
@ellenbrockygirl.",17/02/2025,,3,,2,3141,47,7
Don’t mind if we do…,16/02/2025,,3,,0,1902,17,12
A Saturday well spent…,15/02/2025,,9,,5,13700,189,12
When the mannequins are giving model.,14/02/2025,,4,,2,1954,27,6
"PSA: spring things are in.
@laurenmiam.",12/02/2025,,2,,3,4020,57,6
How many spritzes are too many? Asking for a friend.  ,11/02/2025,,4,,1,2308,25,4
"ICYMI, prep’s cool. ",10/02/2025,,3,,2,20100,154,35
"Stripes + leather = 
@iamnkirote.",07/02/2025,,1,,1,3951,30,1
It would be rude not to… @lauravonmullen_,06/02/2025,,6,@lauravonmullen_,2,11100,103,6
Feburary ‘fits to take your pick from- which mood are you? ,06/02/2025,,3,,0,3486,48,8
Girl math- it’s 2 jackets for the price of 1,05/02/2025,,5,,1,3167,37,9
"We’re obsessed 
@what.mia.makes
#MyMarks",05/02/2025,mymarks,11,,5,2526,42,7
"This colour combo, though ",04/02/2025,,6,,1,2701,54,7
"Beyoncé isn’t the only winner around here 

Jacket- T496008",03/02/2025,,16,,10,18400,107,10
"Wearing our hearts on our nails thus Valentine’s Day 

@Simu ✿ ",03/02/2025,,1,@Simu ✿,3,2787,29,9
New right now. ,03/02/2025,,134,,13,42700,1108,158
"Love is in the store.
@lilliehenrietta.",31/01/2025,,13,,3,3754,70,7
The viral loafer but make it ,31/01/2025,,7,,3,5248,52,7
What following your dreams actually looks like…,30/01/2025,,14,,4,2279,38,8
What’s another few minutes when you’re already late? ,29/01/2025,,202,,27,46000,1041,195
Just in case you were wondering… ,28/01/2025,,40,,10,31300,265,15
"A great dress, made even better 

@marksandspencer_nicole  ",28/01/2025,,2,,0,2845,29,2
"Come shopping with Insider, Emma.

@marksandspencer_emmas.
#MyMarks",26/01/2025,mymarks,1,,1,2027,15,1
"Animal print 101 with Insider, Monice.  

@marksandspencer_monice.
#MyMarks",25/01/2025,mymarks,0,,0,2447,26,2
"""Timmy may at rock up to a premier, but I do the whole day!"" - @jimchapman

#MyMarks",22/01/2025,mymarks,0,,2,3207,23,2
"We’ll take one of each, please.
@marksandspencer_nicole.
#MyMarks",21/01/2025,mymarks,3,,0,3087,42,8
"New-in haul and we love ALL of it.

@marksandspencer_em

#MyMarks",20/01/2025,mymarks,2,,1,4792,52,4
"Fresh mountain air calls for fresh 'fits from Goodmove ️
@charlotteillidge.",17/01/2025,,1,,2,3309,22,0
"You heard it here first. Our insider’s reveal their 2025 must-haves.

@marksandspencer_zarah. @marksandspencer_daz.

#MyMarks",17/01/2025,mymarks,1,,0,2915,43,3
"Someone understood the assignment 

@marksandspencer_jodie.
#MyMarks",14/01/2025,mymarks,217,,83,48100,1686,29
"We love this for you…
@hellojodie_.
#MyMarks",14/01/2025,mymarks,845,,20,106700,3081,240
"Honestly, you never regret wearing a bomber jacket.
 
@marksandspencer_daz.
#MyMarks",13/01/2025,mymarks,1,,0,2649,21,2
"This jacket, though 
@marksandspencer_daz.
#MyMarks",10/01/2025,mymarks,2,,2,3139,14,2
"A January reset with Goodmove.
@adeleptty.
#MyMarks",07/01/2025,mymarks,0,,0,3360,22,3
This is your sign to press pause and take a moment for yourself. Live well. Every day.,31/12/2024,,0,,1,4395,39,1
"Stepping into the New Year in style @melvinodoom

#MyMarks",31/12/2024,,0,@melvinodoom,1,2343,32,1
Wishing you all a very Merry Christmas from this lovely lot. ,25/12/2024,,1,,1,3982,51,1
"2024 is the year of the 
@marksandspencer_charlie 

#napkinfolding #napkins",24/12/2024,"napkinfolding, napkins",1,,0,3678,69,32
"We're pleased to announce that Spencer's gift-wrapping service is no longer available 

@marksandspencer_daz 
@marksandspencer_zarah
@wrighty_
@spencermatthews ",23/12/2024,,86,,15,64800,1149,43
"The festive up-do you need to know...
@marksandspencer_zarah
#MyMarks",23/12/2024,mymarks,1,,0,2407,15,3
"Who did it better – Buddy or @wrighty_ and​
@spencermatthews?",22/12/2024,,49,,9,92500,1361,16
"Christmas selfies are out, hilarious, scenic photos with the fam are in…  @holly morris ",21/12/2024,,2,@holly morris,2,2915,27,0
"To get your gifts and outfits in time for Christmas, order by Friday 20 Dec (standard delivery) or Monday 23 Dec (Click & Collect or next-day delivery)
@marksandspencer_zarah
#MyMarks",19/12/2024,mymarks,2,,0,2949,31,1
"Erm, we think otherwise... 

@wrighty_.
@spencermatthews.",18/12/2024,,67,,9,97500,1533,19
"Christmas Day make-up, completed it.
@shana.nyala
#MyMarks",17/12/2024,mymarks,0,,1,2381,20,2
"This way to the dancefloor... Two party looks, double the drama.
@trishnagoklani.
#MyMarks",15/12/2024,mymarks,1,,3,2973,40,6
"Earn star-gifter status with festive finds from Puma, Reebok, HOFF and adidas.",14/12/2024,,0,,1,2678,27,4
"Mark and Spencer take on the two-minute outfit challenge: Christmas edition. 
@wrighty_.@spencermatthews.",13/12/2024,,65,,24,90100,1577,70
"Catch eyes with these bold party-season looks.
@jade_edgington.",13/12/2024,,2,,1,2014,21,2
"The effortless low bun: party edition.
@marksandspencer_zarah.
#MyMarks",10/12/2024,mymarks,2,,0,3266,18,3
"It’s a want, not a need. Get ready with @tia_dewitt.
#MyMarks",09/12/2024,mymarks,0,,2,2313,42,3
"It's always a good hair day with Percy & Reed.
@marksandspencer_zarah
#MyMarks",09/12/2024,mymarks,4,,0,1915,18,0
"Red hot and coming to a party near you.
@thandimaq
#MyMarks",09/12/2024,mymarks,1,,3,1760,24,1
When the shoe *is* the outfit.  ,06/12/2024,,0,,3,3003,14,1
" RUN, don't walk... We've hidden 4x £100 gift cards around Battersea Power Station – home to our brand-new concept store. Explore curated capsule collections of considered pieces and iconic M&S styles.",04/12/2024,,11,,3,3323,33,3
Oops! @wrighty_ and @spencermatthews ,04/12/2024,,4,,3,12900,350,5
"What's in the make-up bag: the Insiders edition. 

@marksandspencer_zarah
@marksandspencer_em

#MyMarks",03/12/2024,mymarks,0,,1,2429,25,4
"Endless fun on set with Mark and Spencer 
@wrighty_.
@spencermatthews.",01/12/2024,,1,,3,3601,41,4
